"","text","score"
"120","RT @davesbargains: Check out MEN`S LONG SLEEVE HENLEY SHIRT COLOR: CHARCOAL GRAY SIZE: XXL 3-BUTTON FRONT NWT #Henley https://t.co/XQo0njC9…",0
"121","TIX #Ticket: HOUSTON #Texans @ BALTIMORE RAVENS 2011 NFL GAME #Tickets, TERRELL SUGGS https://t.co/ZIQGw34fRL #NFL #Football",0
"122","#Travelers #Bags Walt Disney World Cinderella Castle #Suitcase #Luggage #Bag Carry On #Bag 20''… https://t.co/6Bp7bZYwPc",0
"123","#NFL #Football: NIKE NFL BALTIMORE RAVENS #RayRice #27 PURPLE YOUTH S #Jersey https://t.co/2Sa78gcuta https://t.co/KiIWHlbzsz",0
"125","New on Ebay! Xiaomi Redmi 4A 5.0"" Dual SIM 16GB Grey Unlocked Smartphone UU https://t.co/DfQQt9tS6D https://t.co/Ylzw8bq9op",0
"127","Check out what I found. Antique 1800s GERMAN SILVER Tea Caddy Spoon with Repousse Decoration https://t.co/1zFrfwEOwA via @eBay_UK",0
"130","#Fitbit #Watches #FitbitSurge #Fitness Watch #GPS, Heart Rate Monitor Black Large FB501BLKL NIB… https://t.co/dAT2kxGfeI",0
"134","<U+266E>§ JESSICA LONDON PLUS 26/28 NEW YELLOW SCOOP NECK COTTON RIBBED TUNIC TAN Check It Out https://t.co/qWoJeveYMb https://t.co/AofckPMxi0",0
"135","RT @WatchTheBreaks: Just listed this Tyler Naquin Autographs &amp; Parallel Lot - Cleveland Indians  https://t.co/sZstpsN9s8 @eBay #Collect",0
"140","@AllvRodriguez En wish y ebay tmbbbbbb",0
"142","TIX: 1-6 Detroit #Tigers @ Pittsburgh Pirates PNC #Tickets 8/7/17 Sec 131; Row E https://t.co/vmbqLqcO2v #MLB… https://t.co/8YazE49AsQ",0
"144","Night Owl Security 8 Channel Video Security System With A 1TB HDD https://t.co/PwImjL5ZMw https://t.co/b7lvIRo6rM",0
"145","Check out Men's Claiborne Short Sleeve Ribbed Shirt Size XL Grey https://t.co/9rQWWwpmcy @eBay",0
"146","#Music #Memorabilia #BritneySpears super rare Toxic The Onyx Motel Tour 2004 m medium https://t.co/8Y0xLZHIpv #Entertainment #Deal",0
"147","#BritneySpears #Book Britney Spears People Magazine January 21 2008 https://t.co/aYhEfo4XeG #Magazine #Books",0
"148","#MLB TIX: 1-6 CHICAGO #WhiteSox vs OAKLAND A'S SAT, JUNE 24TH MARK BUEHRLE DAY SECT 159 https://t.co/Y3GemP5G9h… https://t.co/pkpsLMDYaM",0
"150","#Nike #AirForce: NikeLab AF1 #AirForce1 Low Vanchetta Tan USED Size 9.5 https://t.co/R4m7PoDvPs https://t.co/evTCsLDz7S",0
"151","TIX #Ticket: 2 Tickets #JasonAldean with Chris Young and Kane Brown 7/13/17 at PNC Music Pavi… https://t.co/oAYfUcdcn3",0
